ip,continent,bgp_prefix_len,whois_network_age_days,provider_is_hosting,num_distinct_ports,has_80,has_443,web_server,http_root_any_present,http_any_status_class,http_any_redirect_like,http_any_body_size,http_any_supports_http2,http_any_is_html,http_any_meta_refresh,has_http_80_data,has_http_443_data,cert_age_days,cert_lifetime_days,cert_remaining_days,cert_validation_level,cert_is_letsencrypt,cert_san_count,cert_is_wildcard,cert_chain_len,has_cert_data,has_reverse_dns,num_dns_names_capped,dns_has_suspicious_tokens,has_dns_names_data,label
199.26.86.79,North America,22,7.849323818040561,1,3.4339872044851463,1,1,apache,1,3xx,1,5.099866427824199,1,1,1,1,1,4.356708826689592,4.51085950651685,2.5649493574615367,dv,1,1.6094379124341003,1,0.6931471805599453,1,1,3.9318256327243257,0,1,1
185.176.24.103,Europe,24,8.132706489693264,1,2.639057329615259,1,1,cloudflare,1,4xx,0,5.537334267018537,0,1,0,1,1,0.0,0.0,0.0,none,0,0.0,0,0.0,0,0,0.0,0,0,1
104.21.20.252,North America,20,8.379997952238393,1,2.639057329615259,1,1,cloudflare,1,4xx,0,5.537334267018537,0,1,0,1,1,0.0,0.0,0.0,none,0,0.0,0,0.0,0,0,3.9318256327243257,1,1,1
91.216.248.20,Europe,24,8.650499558724462,0,1.6094379124341003,1,1,other,1,4xx,0,7.629975707027789,1,1,0,1,1,7.948031990637284,5.902633333401366,0.0,unknown,0,0.6931471805599453,0,0.0,1,1,3.9318256327243257,1,1,1
154.213.177.107,Asia,24,5.918893854273146,0,3.4657359027997265,1,1,unknown,1,2xx,0,0.0,1,1,0,1,1,5.823045895483019,8.202756381655638,8.105609402299896,unknown,0,1.0986122886681096,0,0.0,1,0,3.9318256327243257,1,1,1
34.8.133.164,North America,13,7.240649694255466,1,0.6931471805599453,1,0,unknown,1,3xx,1,0.0,0,1,0,1,0,0.0,0.0,0.0,none,0,0.0,0,0.0,0,1,3.9318256327243257,0,1,1
66.235.200.145,North America,24,9.021115038865434,1,2.639057329615259,1,1,cloudflare,1,4xx,0,5.0238805208462765,1,1,0,1,1,3.970291913552122,4.51085950651685,3.6375861597263857,dv,0,1.0986122886681096,1,1.0986122886681096,1,1,3.9318256327243257,0,1,1
69.36.94.214,North America,19,9.032528630660057,1,2.8903717578961645,1,1,apache,1,3xx,1,5.099866427824199,0,1,1,1,1,4.465908118654584,4.51085950651685,1.3862943611198906,dv,1,1.0986122886681096,0,0.6931471805599453,1,1,3.9318256327243257,1,1,1
45.87.41.119,Europe,24,7.207118856207756,0,1.6094379124341003,1,1,other,1,4xx,0,3.8918202981106265,0,0,0,1,1,0.0,0.0,0.0,none,0,0.0,0,0.0,0,1,1.6094379124341003,0,1,1
154.213.177.126,Asia,24,5.918893854273146,0,3.332204510175204,1,1,unknown,1,2xx,0,0.0,1,1,0,1,1,5.823045895483019,8.202756381655638,8.105609402299896,unknown,0,1.0986122886681096,0,0.0,1,0,3.9318256327243257,1,1,1
13.248.243.5,North America,20,7.934871565945176,0,1.0986122886681096,1,1,unknown,1,4xx,0,0.0,0,0,0,1,1,5.147494476813453,5.986452005284438,5.420534999272286,dv,0,1.0986122886681096,1,0.6931471805599453,1,1,3.9318256327243257,0,1,1
52.44.11.177,North America,15,9.433003808053515,0,1.3862943611198906,1,1,unknown,1,4xx,0,6.810142450115136,1,1,0,1,1,5.093750200806762,5.981414211254481,5.4510384535657,dv,0,2.4849066497880004,1,1.0986122886681096,1,1,0.0,0,0,1
172.67.193.133,North America,20,8.300280189852664,1,2.639057329615259,1,1,cloudflare,1,4xx,0,5.537334267018537,0,1,0,1,1,0.0,0.0,0.0,none,0,0.0,0,0.0,0,0,3.9318256327243257,1,1,1
172.67.193.120,North America,20,8.300280189852664,1,2.639057329615259,1,1,cloudflare,1,4xx,0,5.537334267018537,0,1,1,1,1,0.0,0.0,0.0,none,0,0.0,0,0.0,0,0,3.9318256327243257,1,1,1
8.219.239.111,Asia,17,0.0,0,1.3862943611198906,1,1,nginx,1,2xx,0,6.423246963533519,1,1,0,1,1,3.8501476017100584,4.51085950651685,3.784189633918261,dv,1,0.6931471805599453,0,0.6931471805599453,1,0,3.6109179126442243,1,1,1
89.46.106.40,Europe,21,6.340359303727752,0,1.3862943611198906,1,1,unknown,1,2xx,0,10.031704850336881,0,1,0,1,1,6.369900982828227,5.902633333401366,0.0,ov,0,0.6931471805599453,0,0.6931471805599453,1,1,3.9318256327243257,1,1,1
104.21.85.54,North America,20,8.379997952238393,1,2.639057329615259,1,1,cloudflare,1,4xx,0,5.537334267018537,0,1,0,1,1,0.0,0.0,0.0,none,0,0.0,0,0.0,0,0,3.9318256327243257,1,1,1
177.154.191.228,South America,24,7.075808863978387,0,2.4849066497880004,0,0,other,0,0,0,0.0,0,0,0,0,0,4.574710978503383,4.51085950651685,0.0,dv,1,0.6931471805599453,0,0.6931471805599453,1,1,3.9318256327243257,0,1,1
63.176.8.218,Europe,14,6.741700694652055,0,1.0986122886681096,1,1,unknown,1,4xx,0,0.0,1,0,0,1,1,5.983936280687191,5.986452005284438,0.0,ov,0,1.0986122886681096,1,0.6931471805599453,1,1,3.9318256327243257,1,1,1
45.113.122.70,Asia,24,0.0,0,3.091042453358316,1,1,apache,1,3xx,1,0.0,1,1,0,1,1,5.717027701406222,5.905361848054571,4.143134726391533,dv,0,1.0986122886681096,1,1.0986122886681096,1,1,3.9318256327243257,0,1,1
104.26.1.160,North America,20,8.379997952238393,1,2.639057329615259,1,1,cloudflare,1,4xx,0,5.537334267018537,0,1,0,1,1,0.0,0.0,0.0,none,0,0.0,0,0.0,0,0,3.9318256327243257,1,1,1
92.113.16.75,Europe,21,6.413458957167357,1,1.0986122886681096,1,1,unknown,1,4xx,0,5.517452896464707,0,1,0,1,1,0.0,0.0,0.0,none,0,0.0,0,0.0,0,0,0.6931471805599453,0,1,1
103.190.54.12,Asia,23,0.0,1,2.995732273553991,1,1,apache,1,3xx,1,5.099866427824199,0,1,1,1,1,5.823045895483019,5.905361848054571,3.367295829986474,dv,0,1.0986122886681096,0,1.0986122886681096,1,1,3.9318256327243257,0,1,1
198.49.23.180,North America,24,8.430545384690566,0,1.0986122886681096,1,1,unknown,1,4xx,0,7.268920128193722,0,1,0,1,1,5.958424693029782,5.961005339623274,0.0,ov,0,2.70805020110221,1,0.6931471805599453,1,0,3.9318256327243257,1,1,1
65.181.111.8,North America,24,6.873163834212518,0,3.4011973816621555,1,1,other,1,2xx,0,5.099866427824199,1,1,1,1,1,5.662960480135946,5.983936280687191,4.6913478822291435,dv,0,3.367295829986474,1,1.0986122886681096,1,0,3.9318256327243257,1,1,1
178.16.54.253,Europe,24,5.2832037287379885,0,3.044522437723423,1,1,other,1,2xx,0,11.090370147631774,1,1,1,1,1,4.2626798770413155,4.51085950651685,2.995732273553991,dv,1,1.6094379124341003,1,0.6931471805599453,1,1,3.9318256327243257,1,1,1
210.211.113.134,Asia,21,0.0,0,3.091042453358316,1,1,apache,1,4xx,0,5.883322388488279,1,1,1,1,1,6.731018100482083,5.902633333401366,0.0,unknown,0,2.1972245773362196,0,0.6931471805599453,1,1,3.9318256327243257,1,1,1
47.88.49.201,North America,18,7.930206206684683,0,1.3862943611198906,1,1,nginx,1,2xx,0,7.186144304522325,0,1,0,1,1,3.5553480614894135,4.51085950651685,4.02535169073515,dv,1,0.6931471805599453,0,0.6931471805599453,1,0,2.8903717578961645,0,1,1
188.166.12.164,Europe,18,8.27563105457801,0,1.3862943611198906,1,1,nginx,1,4xx,0,5.545177444479562,0,1,0,1,1,0.0,0.0,0.0,none,0,0.0,0,0.0,0,0,0.6931471805599453,0,1,1
