ip,whois_network_age_days,provider_is_hosting,num_distinct_ports,port_count_bucket,has_non_web_ports,http_observed,root_2xx_html,root_redirect_like,http_any_is_html,http_any_supports_http2,server_family,cert_present,cert_validation_group,cert_remaining_days,cert_chain_len,cert_recently_issued,cert_short_lived,cert_age_ratio,has_dns_names_data,dns_suspicious_token_count,dns_has_auth_token,dns_has_brand_token,dns_name_depth,dns_has_punycode,dns_has_digit_hyphen_pattern,label
199.26.86.79,7.4798641311650265,0,3.4339872044851463,4_plus,1,1,0,1,1,1,common_self_managed,1,dv,6.692083742506628,0.6931471805599453,1,1,0.0,1,1,0,0,1.2,0,0,1
185.176.24.103,7.867871490396322,1,2.639057329615259,4_plus,1,1,0,0,1,0,edge_or_cdn,0,none_or_unknown,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,1
104.21.20.252,8.17948018535889,1,2.639057329615259,4_plus,1,1,0,0,1,0,edge_or_cdn,0,none_or_unknown,0.0,0.0,0,0,0.0,1,4,1,1,0.58,0,1,1
91.216.248.20,8.501267040865978,0,1.6094379124341003,4_plus,1,1,0,0,1,1,other,1,none_or_unknown,0.0,0.0,0,0,1.0,1,3,1,1,1.21,0,1,1
154.213.177.107,0.0,0,3.4657359027997265,4_plus,1,1,1,0,1,1,unknown,1,none_or_unknown,8.32020459757888,0.0,1,0,0.0,1,2,0,0,0.9,0,0,1
34.8.133.164,6.401917196727186,1,0.6931471805599453,1,0,1,0,1,1,0,unknown,0,none_or_unknown,0.0,0.0,0,0,0.0,1,1,0,0,1.2,0,1,1
66.235.200.145,8.92052268739398,1,2.639057329615259,4_plus,1,1,0,0,1,1,edge_or_cdn,1,dv,6.721425700790643,1.0986122886681096,1,1,0.0,1,1,0,0,0.51,0,0,1
69.36.94.214,8.93313654381203,0,2.8903717578961645,4_plus,1,1,0,1,1,0,common_self_managed,1,dv,6.679599185844383,0.6931471805599453,1,1,0.0,1,3,1,0,0.48,0,1,1
45.87.41.119,6.322565239927284,0,1.6094379124341003,4_plus,1,1,0,0,0,0,other,0,none_or_unknown,0.0,0.0,0,0,0.0,1,1,1,0,1.0,0,0,1
154.213.177.126,0.0,0,3.332204510175204,4_plus,1,1,1,0,1,1,unknown,1,none_or_unknown,8.32020459757888,0.0,1,0,0.0,1,2,0,0,0.67,0,0,1
13.248.243.5,7.601402334583733,1,1.0986122886681096,2_3,0,1,0,0,0,0,unknown,1,dv,6.925595197110468,0.6931471805599453,1,0,0.0,1,1,0,0,0.65,0,0,1
52.44.11.177,9.367515046348181,1,1.3862943611198906,2_3,1,1,0,0,1,1,unknown,1,dv,6.932447891572509,1.0986122886681096,1,0,0.0,0,0,0,0,0.0,0,0,1
172.67.193.133,8.081165777725433,1,2.639057329615259,4_plus,1,1,0,0,1,0,edge_or_cdn,0,none_or_unknown,0.0,0.0,0,0,0.0,1,2,0,0,0.65,0,1,1
172.67.193.120,8.081165777725433,1,2.639057329615259,4_plus,1,1,0,0,1,0,edge_or_cdn,0,none_or_unknown,0.0,0.0,0,0,0.0,1,3,0,1,0.46,0,1,1
8.219.239.111,0.0,0,1.3862943611198906,2_3,1,1,1,0,1,1,common_self_managed,1,dv,6.729824070489475,0.6931471805599453,1,1,0.0,1,3,0,1,1.0,0,0,1
89.46.106.40,0.0,0,1.3862943611198906,2_3,1,1,1,0,1,0,unknown,1,ov_ev,6.352629396319567,0.6931471805599453,1,0,0.0,1,2,0,1,0.12,0,1,1
104.21.85.54,8.17948018535889,1,2.639057329615259,4_plus,1,1,0,0,1,0,edge_or_cdn,0,none_or_unknown,0.0,0.0,0,0,0.0,1,2,0,0,0.73,0,0,1
177.154.191.228,5.968707559985366,0,2.4849066497880004,4_plus,1,0,0,0,0,0,other,1,dv,6.666956792429207,0.6931471805599453,1,1,0.0,1,1,0,0,1.66,0,1,1
63.176.8.218,4.007333185232471,1,1.0986122886681096,2_3,0,1,0,0,0,1,unknown,1,ov_ev,6.675823221634848,0.6931471805599453,1,0,0.0,1,2,0,0,0.26,1,0,1
45.113.122.70,0.0,0,3.091042453358316,4_plus,1,1,0,1,1,1,common_self_managed,1,dv,6.75110146893676,1.0986122886681096,1,0,0.0,1,1,0,0,0.99,0,0,1
104.26.1.160,8.17948018535889,1,2.639057329615259,4_plus,1,1,0,0,1,0,edge_or_cdn,0,none_or_unknown,0.0,0.0,0,0,0.0,1,2,0,0,1.35,1,1,1
92.113.16.75,0.0,1,1.0986122886681096,2_3,0,1,0,0,1,0,unknown,0,none_or_unknown,0.0,0.0,0,0,0.0,1,0,0,0,0.0,0,0,1
103.190.54.12,0.0,1,2.995732273553991,4_plus,1,1,0,1,1,0,common_self_managed,1,dv,6.710523109452428,1.0986122886681096,1,0,0.0,1,1,0,0,0.85,0,0,1
198.49.23.180,8.2409125416889,0,1.0986122886681096,2_3,0,1,0,0,1,0,unknown,1,ov_ev,6.675823221634848,0.6931471805599453,1,0,0.0,1,2,0,0,1.08,0,0,1
65.181.111.8,5.159055299214529,0,3.4011973816621555,4_plus,1,1,1,0,1,1,common_self_managed,1,dv,6.803505257608338,1.0986122886681096,1,0,0.0,1,3,0,1,1.1,0,1,1
178.16.54.253,0.0,0,3.044522437723423,4_plus,1,1,1,0,1,1,other,1,dv,6.70073110954781,0.6931471805599453,1,1,0.0,1,2,0,0,0.96,0,1,1
210.211.113.134,0.0,0,3.091042453358316,4_plus,1,1,0,0,1,1,common_self_managed,1,none_or_unknown,5.768320995793772,0.6931471805599453,0,0,0.1232876712328767,1,2,0,1,1.07,0,0,1
47.88.49.201,7.59488438721652,0,1.3862943611198906,2_3,1,1,1,0,1,0,common_self_managed,1,dv,6.744059186311348,0.6931471805599453,1,1,0.0,1,1,0,0,0.0,0,0,1
188.166.12.164,8.050384453067021,1,1.3862943611198906,2_3,1,1,0,0,1,0,common_self_managed,0,none_or_unknown,0.0,0.0,0,0,0.0,1,0,0,0,1.0,0,0,1
104.194.157.223,5.181783550292085,1,1.3862943611198906,2_3,1,1,0,0,0,0,common_self_managed,1,dv,6.747586526829315,0.6931471805599453,1,1,0.0,1,2,1,0,1.21,0,1,1
