ip,whois_network_age_days,port_count_bucket,has_non_web_ports,root_2xx_html,root_redirect_like,http_any_is_html,http_any_supports_http2,server_family,cert_present,cert_validation_group,cert_remaining_days,cert_chain_len,cert_recently_issued,cert_short_lived,cert_age_ratio,has_dns_names_data,dns_num_labels,dns_max_label_length,dns_label_entropy,dns_brand_plus_auth_combo,dns_has_brand_token,dns_suspicious_token_count,dns_has_digit_hyphen_pattern,dns_has_punycode,label
199.26.86.79,7.4798641311650265,4_plus,1,0,1,1,1,common_self_managed,1,dv,6.692083742506628,0.6931471805599453,1,1,0.0,1,5,29,1.8619633261694546,0,0,3,0,0,1
185.176.24.103,7.867871490396322,4_plus,1,0,0,1,0,edge_or_cdn,0,none_or_unknown,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,1
104.21.20.252,8.17948018535889,4_plus,1,0,0,1,0,edge_or_cdn,0,none_or_unknown,0.0,0.0,0,0,0.0,1,4,25,2.027110769750774,1,1,6,1,0,1
91.216.248.20,8.501267040865978,4_plus,1,0,0,1,1,other,1,none_or_unknown,0.0,0.0,0,0,1.0,1,4,24,1.9039032584126332,1,1,5,1,0,1
154.213.177.107,0.0,4_plus,1,1,0,1,1,unknown,1,none_or_unknown,8.32020459757888,0.0,1,0,0.0,1,4,11,1.4314711945899932,0,0,3,0,0,1
34.8.133.164,6.401917196727186,1,0,0,1,1,0,unknown,0,none_or_unknown,0.0,0.0,0,0,0.0,1,7,25,2.1194327568441045,1,1,4,1,0,1
66.235.200.145,8.92052268739398,4_plus,1,0,0,1,1,edge_or_cdn,1,dv,6.721425700790643,1.0986122886681096,1,1,0.0,1,4,25,1.8910773921056192,0,0,3,0,0,1
69.36.94.214,8.93313654381203,4_plus,1,0,1,1,0,common_self_managed,1,dv,6.679599185844383,0.6931471805599453,1,1,0.0,1,3,26,1.8493971551602764,1,1,5,1,0,1
45.87.41.119,6.322565239927284,4_plus,1,0,0,0,0,other,0,none_or_unknown,0.0,0.0,0,0,0.0,1,4,15,2.4665660018938054,0,0,3,1,0,1
154.213.177.126,0.0,4_plus,1,1,0,1,1,unknown,1,none_or_unknown,8.32020459757888,0.0,1,0,0.0,1,3,10,1.291177985726453,0,0,3,0,0,1
13.248.243.5,7.601402334583733,2_3,0,0,0,0,0,other,1,dv,6.925595197110468,0.6931471805599453,1,0,0.0,1,4,23,1.7986180230248456,1,1,4,0,0,1
52.44.11.177,9.367515046348181,2_3,1,0,0,1,1,unknown,1,dv,6.932447891572509,1.0986122886681096,1,0,0.0,1,4,16,2.5560778002867113,0,1,3,1,0,1
172.67.193.133,8.081165777725433,4_plus,1,0,0,1,0,edge_or_cdn,0,none_or_unknown,0.0,0.0,0,0,0.0,1,4,20,1.9066179991825163,0,0,5,1,0,1
172.67.193.120,8.081165777725433,4_plus,1,0,0,1,0,edge_or_cdn,0,none_or_unknown,0.0,0.0,0,0,0.0,1,4,24,1.9551528776450122,0,1,5,1,0,1
