ip,continent,bgp_prefix_len,whois_network_age_days,provider_is_hosting,num_distinct_ports,has_80,has_443,https_only,web_server,http_root_any_present,http_any_status_class,http_any_redirect_like,http_any_body_size,http_any_supports_http2,http_any_is_html,http_any_meta_refresh,cert_age_days,cert_lifetime_days,cert_remaining_days,cert_validation_level,cert_is_letsencrypt,cert_san_count,cert_is_wildcard,cert_chain_len,has_reverse_dns,num_dns_names_capped,dns_has_suspicious_tokens,label
199.26.86.79,North America,22,7.842671474979457,1,3.4339872044851463,1,1,0,apache,1,3xx,1,5.099866427824199,1,1,1,4.110873864173311,4.51085950651685,3.4011973816621555,dv,1,1.6094379124341003,1,0.6931471805599453,1,3.9318256327243257,0,1
185.176.24.103,Europe,24,8.127699852817772,1,2.639057329615259,1,1,0,cloudflare,1,4xx,0,5.537334267018537,0,1,0,0.0,0.0,0.0,none,0,0.0,0,0.0,0,0.0,0,1
104.21.20.252,North America,20,8.376090350438238,1,2.639057329615259,1,1,0,cloudflare,1,4xx,0,5.537334267018537,0,1,0,0.0,0.0,0.0,none,0,0.0,0,0.0,0,3.9318256327243257,1,1
91.216.248.20,Europe,24,8.647519453091812,0,1.6094379124341003,1,1,0,other,1,4xx,0,7.629975707027789,1,1,0,7.9420068084898565,5.902633333401366,0.0,unknown,0,0.6931471805599453,0,0.0,1,3.9318256327243257,1,1
154.213.177.107,Asia,24,5.872117789475416,0,3.4657359027997265,1,1,0,unknown,1,2xx,0,0.0,1,1,0,5.771441123130016,8.202756381655638,8.110727582974489,unknown,0,1.0986122886681096,0,0.0,0,3.9318256327243257,1,1
34.8.133.164,North America,13,7.228388451573604,1,0.6931471805599453,1,0,0,unknown,1,3xx,1,0.0,0,1,0,0.0,0.0,0.0,none,0,0.0,0,0.0,1,3.9318256327243257,0,1
66.235.200.145,North America,24,9.019058793810718,1,2.639057329615259,1,1,0,cloudflare,1,4xx,0,5.0238805208462765,1,1,0,3.6109179126442243,4.51085950651685,3.9889840465642745,dv,0,1.0986122886681096,1,1.0986122886681096,1,3.9318256327243257,0,1
69.36.94.214,North America,19,9.03049574505712,1,2.8903717578961645,1,1,0,apache,1,3xx,1,5.099866427824199,0,1,1,4.248495242049359,4.51085950651685,3.044522437723423,dv,1,1.0986122886681096,0,0.6931471805599453,1,3.9318256327243257,1,1
45.87.41.119,Europe,24,7.194436851100335,0,1.6094379124341003,1,1,0,other,1,4xx,0,3.8918202981106265,0,0,0,0.0,0.0,0.0,none,0,0.0,0,0.0,1,1.6094379124341003,0,1
154.213.177.126,Asia,24,5.872117789475416,0,3.332204510175204,1,1,0,unknown,1,2xx,0,0.0,1,1,0,5.771441123130016,8.202756381655638,8.110727582974489,unknown,0,1.0986122886681096,0,0.0,0,3.9318256327243257,1,1
13.248.243.5,North America,20,7.9287663216266955,0,1.0986122886681096,1,1,0,unknown,1,4xx,0,0.0,0,0,0,5.049856007249537,5.986452005284438,5.488937726156687,dv,0,1.0986122886681096,1,0.6931471805599453,1,3.9318256327243257,0,1
52.44.11.177,North America,15,9.431642228411022,0,1.3862943611198906,1,1,0,unknown,1,4xx,0,6.810142450115136,1,1,0,4.983606621708336,5.981414211254481,5.521460917862246,dv,0,2.4849066497880004,1,1.0986122886681096,1,0.0,0,1
172.67.193.133,North America,20,8.2960476427647,1,2.639057329615259,1,1,0,cloudflare,1,4xx,0,5.537334267018537,0,1,0,0.0,0.0,0.0,none,0,0.0,0,0.0,0,3.9318256327243257,1,1
172.67.193.120,North America,20,8.2960476427647,1,2.639057329615259,1,1,0,cloudflare,1,4xx,0,5.537334267018537,0,1,1,0.0,0.0,0.0,none,0,0.0,0,0.0,0,3.9318256327243257,1,1
8.219.239.111,Asia,17,0.0,0,1.3862943611198906,1,1,0,nginx,1,2xx,0,6.423246963533519,1,1,0,3.4011973816621555,4.51085950651685,4.110873864173311,dv,1,0.6931471805599453,0,0.6931471805599453,0,3.6109179126442243,1,1
89.46.106.40,Europe,21,6.309918278226516,0,1.3862943611198906,1,1,0,unknown,1,2xx,0,10.031704850336881,0,1,0,6.342121418721152,5.902633333401366,0.0,ov,0,0.6931471805599453,0,0.6931471805599453,1,3.9318256327243257,1,1
104.21.85.54,North America,20,8.376090350438238,1,2.639057329615259,1,1,0,cloudflare,1,4xx,0,5.537334267018537,0,1,0,0.0,0.0,0.0,none,0,0.0,0,0.0,0,3.9318256327243257,1,1
177.154.191.228,South America,24,7.061334366910438,0,2.4849066497880004,0,0,0,other,0,0,0,0.0,0,0,0,4.382026634673881,4.51085950651685,2.3978952727983707,dv,1,0.6931471805599453,0,0.6931471805599453,1,3.9318256327243257,0,1
63.176.8.218,Europe,14,6.721425700790643,0,1.0986122886681096,1,1,0,unknown,1,4xx,0,0.0,1,0,0,5.940171252720432,5.986452005284438,2.8903717578961645,ov,0,1.0986122886681096,1,0.6931471805599453,1,3.9318256327243257,1,1
45.113.122.70,Asia,24,0.0,0,3.091042453358316,1,1,0,apache,1,3xx,1,0.0,1,1,0,5.659482215759621,5.905361848054571,4.382026634673881,dv,0,1.0986122886681096,1,1.0986122886681096,1,3.9318256327243257,0,1
104.26.1.160,North America,20,8.376090350438238,1,2.639057329615259,1,1,0,cloudflare,1,4xx,0,5.537334267018537,0,1,0,0.0,0.0,0.0,none,0,0.0,0,0.0,0,3.9318256327243257,1,1
92.113.16.75,Europe,21,6.385194398997726,1,1.0986122886681096,1,1,0,unknown,1,4xx,0,5.517452896464707,0,1,0,0.0,0.0,0.0,none,0,0.0,0,0.0,0,0.6931471805599453,0,1
103.190.54.12,Asia,23,0.0,1,2.995732273553991,1,1,0,apache,1,3xx,1,5.099866427824199,0,1,1,5.771441123130016,5.905361848054571,3.828641396489095,dv,0,1.0986122886681096,0,1.0986122886681096,1,3.9318256327243257,0,1
198.49.23.180,North America,24,8.426830751335846,0,1.0986122886681096,1,1,0,unknown,1,4xx,0,7.268920128193722,0,1,0,5.91350300563827,5.961005339623274,2.8903717578961645,ov,0,2.70805020110221,1,0.6931471805599453,0,3.9318256327243257,1,1
65.181.111.8,North America,24,6.855408798609928,0,3.4011973816621555,1,1,0,other,1,2xx,0,5.099866427824199,1,1,1,5.602118820879701,5.983936280687191,4.836281906951478,dv,0,3.367295829986474,1,1.0986122886681096,0,3.9318256327243257,1,1
178.16.54.253,Europe,24,5.19295685089021,0,3.044522437723423,1,1,0,other,1,2xx,0,11.090370147631774,1,1,1,3.9889840465642745,4.51085950651685,3.6109179126442243,dv,1,1.6094379124341003,1,0.6931471805599453,1,3.9318256327243257,1,1
210.211.113.134,Asia,21,0.0,0,3.091042453358316,1,1,0,apache,1,4xx,0,5.883322388488279,1,1,1,6.71174039505618,5.902633333401366,0.0,unknown,0,2.1972245773362196,0,0.6931471805599453,1,3.9318256327243257,1,1
47.88.49.201,North America,18,7.924072324923417,0,1.3862943611198906,1,1,0,nginx,1,2xx,0,7.186144304522325,0,1,0,2.8903717578961645,4.51085950651685,4.290459441148391,dv,1,0.6931471805599453,0,0.6931471805599453,0,2.8903717578961645,0,1
188.166.12.164,Europe,18,8.271292652979412,0,1.3862943611198906,1,1,0,nginx,1,4xx,0,5.545177444479562,0,1,0,0.0,0.0,0.0,none,0,0.0,0,0.0,0,0.6931471805599453,0,1
104.194.157.223,Europe,22,6.859614903654202,1,1.3862943611198906,1,1,0,nginx,1,2xx,0,6.484635235635252,0,0,0,2.70805020110221,4.51085950651685,4.330733340286331,dv,1,1.3862943611198906,0,0.6931471805599453,1,3.9318256327243257,1,1
212.104.128.0,Europe,24,6.324358962381311,1,2.639057329615259,1,1,0,cloudflare,1,4xx,0,5.537334267018537,0,1,0,0.0,0.0,0.0,none,0,0.0,0,0.0,0,3.9318256327243257,1,1
38.6.210.44,North America,21,7.15305163493748,0,1.791759469228055,1,1,0,nginx,1,2xx,0,7.190676034332207,1,1,0,2.995732273553991,8.202756381655638,8.197263371414335,unknown,0,0.0,0,0.0,0,1.0986122886681096,0,1
162.240.171.116,North America,15,8.425077902508432,0,3.258096538021482,1,1,0,apache,1,3xx,1,5.099866427824199,0,1,1,3.6635616461296463,4.51085950651685,3.9512437185814275,dv,1,1.0986122886681096,1,0.6931471805599453,1,3.9318256327243257,0,1
83.224.65.80,Europe,20,8.875007486048396,0,0.0,0,0,0,unknown,0,0,0,0.0,0,0,0,0.0,0.0,0.0,none,0,0.0,0,0.0,0,0.0,0,1
78.46.204.247,Europe,15,7.970394907191429,0,2.0794415416798357,1,1,0,nginx,1,2xx,0,10.11378899583704,1,1,0,4.02535169073515,4.51085950651685,3.5553480614894135,dv,1,2.70805020110221,0,0.6931471805599453,1,2.639057329615259,0,1
82.39.117.71,North America,24,6.037870919922137,1,1.6094379124341003,1,1,0,nginx,1,2xx,0,5.351858133476067,1,1,1,6.035481432524756,4.51085950651685,0.0,dv,1,1.0986122886681096,0,0.6931471805599453,0,1.0986122886681096,0,1
