feature,coefficient,abs_coefficient
num__has_non_web_ports,0.274621972159798,0.274621972159798
num__whois_network_age_days,-0.17741217596003825,0.17741217596003825
num__root_2xx_html,0.17428368995456892,0.17428368995456892
cat__cert_validation_group_ov_ev,-0.1030798092648789,0.1030798092648789
cat__port_count_bucket_4_plus,0.1027788910613892,0.1027788910613892
cat__port_count_bucket_2_3,-0.0914753001463962,0.0914753001463962
cat__cert_validation_group_dv,0.08015928554328253,0.08015928554328253
cat__server_family_common_self_managed,0.06770830946422077,0.06770830946422077
num__cert_remaining_days,-0.06603398598411565,0.06603398598411565
num__http_any_supports_http2,-0.06200960653229854,0.06200960653229854
num__cert_short_lived,0.05410425470596621,0.05410425470596621
num__cert_chain_len,-0.053609950230318906,0.053609950230318906
cat__server_family_other,-0.05248370954140424,0.05248370954140424
num__dns_suspicious_token_count,0.047507937994492044,0.047507937994492044
num__cert_present,-0.04622190205240892,0.04622190205240892
num__dns_has_brand_token,0.03781390851623235,0.03781390851623235
num__root_redirect_like,-0.03722128742807802,0.03722128742807802
num__dns_max_label_length,0.03180352099163366,0.03180352099163366
num__dns_num_labels,0.03031910691968901,0.03031910691968901
num__cert_recently_issued,-0.02941557312741077,0.02941557312741077
num__dns_label_entropy,-0.027295893459454757,0.027295893459454757
num__has_dns_names_data,0.023334550280884842,0.023334550280884842
cat__cert_validation_group_none_or_unknown,0.023023908910334918,0.023023908910334918
num__dns_has_digit_hyphen_pattern,-0.02167827289472334,0.02167827289472334
num__cert_age_ratio,-0.01569405966204914,0.01569405966204914
cat__server_family_unknown,-0.011609796572803486,0.011609796572803486
cat__port_count_bucket_1,-0.011200205726254662,0.011200205726254662
num__dns_has_punycode,0.00422624606312178,0.00422624606312178
cat__server_family_edge_or_cdn,-0.0035114181612743802,0.0035114181612743802
num__dns_brand_plus_auth_combo,-0.0031602979974191384,0.0031602979974191384
num__http_any_is_html,0.003049472446694607,0.003049472446694607
