feature,coefficient,abs_coefficient
cat__cert_validation_level_ov,-1.7234900226914192,1.7234900226914192
num__num_distinct_ports,1.5435091354156958,1.5435091354156958
cat__http_any_status_class_2xx,1.540201601302453,1.540201601302453
num__cert_remaining_days,-1.4180376243893469,1.4180376243893469
num__cert_lifetime_days,1.2436126745818663,1.2436126745818663
num__cert_chain_len,-0.9420546145125387,0.9420546145125387
cat__cert_validation_level_dv,0.9201670318516868,0.9201670318516868
num__whois_network_age_days,-0.8493581281309425,0.8493581281309425
cat__web_server_other,-0.8154593959026982,0.8154593959026982
num__http_any_is_html,-0.6728379327518043,0.6728379327518043
cat__web_server_nginx,0.6217208311687293,0.6217208311687293
num__has_dns_names_data,0.36241850666622594,0.36241850666622594
num__http_any_supports_http2,-0.28694860254769033,0.28694860254769033
num__dns_has_suspicious_tokens,0.2460547889323086,0.2460547889323086
cat__web_server_cloudflare,-0.21502312727924375,0.21502312727924375
num__provider_is_hosting,-0.19432464230727872,0.19432464230727872
num__has_reverse_dns,0.16609972075662247,0.16609972075662247
num__has_443,-0.15425804925367456,0.15425804925367456
num__has_http_80_data,0.12225639241005265,0.12225639241005265
num__http_any_redirect_like,-0.022694355028488596,0.022694355028488596
num__cert_is_letsencrypt,0.0015331038675686624,0.0015331038675686624
cat__http_any_status_class_3xx,0.0,0.0
cat__continent_Asia,0.0,0.0
cat__continent_Europe,0.0,0.0
cat__http_any_status_class_0,0.0,0.0
cat__web_server_unknown,0.0,0.0
cat__web_server_iis,0.0,0.0
cat__continent_North America,0.0,0.0
cat__continent_South America,0.0,0.0
cat__web_server_apache,0.0,0.0
cat__http_any_status_class_4xx,0.0,0.0
num__http_root_any_present,0.0,0.0
num__has_80,0.0,0.0
cat__http_any_status_class_5xx,0.0,0.0
cat__cert_validation_level_none,0.0,0.0
cat__cert_validation_level_ev,0.0,0.0
cat__cert_validation_level_unknown,0.0,0.0
num__bgp_prefix_len,0.0,0.0
num__http_any_body_size,0.0,0.0
num__cert_age_days,0.0,0.0
num__http_any_meta_refresh,0.0,0.0
num__has_http_443_data,0.0,0.0
num__has_cert_data,0.0,0.0
num__cert_is_wildcard,0.0,0.0
num__cert_san_count,0.0,0.0
num__num_dns_names_capped,0.0,0.0
