feature,coef_mean,coef_std,coef_cv,abs_coef_mean,is_stable,is_important
cat__cert_validation_level_ov,-1.5611134940598053,0.2581883026549767,0.16538727237795928,1.5611134940598053,True,True
num__num_distinct_ports,1.454265340319477,0.228803963288436,0.15733302372328542,1.454265340319477,True,True
cat__http_any_status_class_2xx,1.4266531360655008,0.30894105664036564,0.2165495233777564,1.4266531360655008,True,True
num__cert_remaining_days,-1.0382240475614846,0.25892985395483636,0.24939689517209174,1.0382240475614846,True,True
num__whois_network_age_days,-0.7897076075450317,0.1463313296666294,0.18529811321120535,0.7897076075450317,True,True
cat__web_server_other,-0.7022059507911004,0.3151393062008457,0.44878472739487885,0.7022059507911004,True,True
num__cert_chain_len,-0.6844107158389572,0.2003093131264067,0.2926741333686829,0.6844107158389572,True,True
cat__web_server_nginx,0.631243339707586,0.5251079140317559,0.8318628981891585,0.631243339707586,False,True
num__http_any_is_html,-0.6310571436941884,0.11688213901471074,0.18521641056226132,0.6310571436941884,True,True
num__cert_lifetime_days,0.5671212149855507,0.5412832823219583,0.9544401937701261,0.5671212149855507,False,True
cat__cert_validation_level_dv,0.5525591666236707,0.415337097404103,0.7516608582243919,0.5525591666236707,False,True
num__has_dns_names_data,0.37746312994174874,0.12393946188671703,0.3283485248104729,0.37746312994174874,True,True
num__cert_age_days,0.2516354242292211,0.3085290215547654,1.2260953420998408,0.2516354242292211,False,True
num__http_any_supports_http2,-0.23879154703851935,0.039842744408552073,0.16685156950771401,0.23879154703851935,True,True
num__dns_has_suspicious_tokens,0.2348170960037174,0.18193190582981178,0.7747813465290944,0.2348170960037174,False,True
num__provider_is_hosting,-0.200038799957667,0.18855244066576735,0.9425793431357795,0.200038799957667,False,True
num__has_reverse_dns,0.17085629055950866,0.10031733176009537,0.5871445027372592,0.17085629055950866,False,False
cat__web_server_cloudflare,-0.12947937561174863,0.19782981347822542,1.5278866811300476,0.12947937561174863,False,False
num__has_443,-0.11472271663820885,0.06314841812797918,0.5504438874745697,0.11472271663820885,False,False
num__cert_is_letsencrypt,0.11066555718110507,0.0888322131075295,0.8027087683854054,0.11066555718110507,False,False
num__http_any_redirect_like,-0.08577798314557705,0.07812354398557361,0.9107645239570065,0.08577798314557705,False,False
num__http_any_meta_refresh,0.07385755354022519,0.14771510708045038,2.0,0.07385755354022519,False,False
num__has_http_80_data,0.07309293811603325,0.08217495742957975,1.1242530338447885,0.07309293811603325,False,False
num__cert_is_wildcard,-0.06134534930162215,0.07404826414786164,1.2070721740254822,0.06134534930162215,False,False
num__bgp_prefix_len,0.060533336599331425,0.09186325008817726,1.5175646222215986,0.060533336599331425,False,False
num__http_root_any_present,0.039476194246038446,0.04873773126293728,,0.039476194246038446,True,False
cat__web_server_unknown,0.03774606675986007,0.07549213351972014,,0.03774606675986007,True,False
num__cert_san_count,-0.017658470208173155,0.028708255850473454,,0.017658470208173155,True,False
num__http_any_body_size,0.01581120949897815,0.0316224189979563,,0.01581120949897815,True,False
cat__continent_Asia,0.0,0.0,,0.0,True,False
cat__http_any_status_class_4xx,0.0,0.0,,0.0,True,False
cat__http_any_status_class_3xx,0.0,0.0,,0.0,True,False
cat__http_any_status_class_0,0.0,0.0,,0.0,True,False
cat__web_server_iis,0.0,0.0,,0.0,True,False
cat__continent_Europe,0.0,0.0,,0.0,True,False
cat__continent_North America,0.0,0.0,,0.0,True,False
cat__continent_South America,0.0,0.0,,0.0,True,False
cat__web_server_apache,0.0,0.0,,0.0,True,False
num__has_80,0.0,0.0,,0.0,True,False
cat__cert_validation_level_ev,0.0,0.0,,0.0,True,False
cat__http_any_status_class_5xx,0.0,0.0,,0.0,True,False
cat__cert_validation_level_unknown,0.0,0.0,,0.0,True,False
cat__cert_validation_level_none,0.0,0.0,,0.0,True,False
num__has_http_443_data,0.0,0.0,,0.0,True,False
num__has_cert_data,0.0,0.0,,0.0,True,False
num__num_dns_names_capped,0.0,0.0,,0.0,True,False
